"","state","zip_code","kw_potential_for_median_house","yearly_solar_kwh_produced","estimated_avg_carbon_offset","estimated_percent_of_houses_qualified","num_customers","average_installation_cost","avg_house_price","average_monthly_consumption","price_per_kwh","impact","economical","savings","naive_model"
"3374","Georgia",30035,10,12344.06357,101904.4389,74.4478672851116,4933,11722,389500,1072,0.13,0.0155660459056834,0.337945597224555,-0.0256056094004312,0.114966104762008
"3375","New Jersey",7036,6.75,7875.5867,167388.7015,86.3167233196756,10035,10745,485900,687,0.16,0.0108408266321256,0.339294735335167,-0.0223304152369879,0.114930733087928
"3376","Georgia",30009,10,12334.89578,85326.47788,77.817291273841,3805,11722,389500,1072,0.13,0.0161659648384417,0.33768648251447,-0.0260571008448856,0.114927297062771
"3377","Washington",98499,11.75,11300.47566,55007.50096,83.6727078728241,7084,10390,605400,984,0.1,0.00520604742032204,0.341715709444135,-0.0192264184936425,0.114892233523839
"3378","New York",12839,6.25,6910.539014,20028.77181,80.9893865624797,2955,11766,649000,599,0.19,0.00469480226240445,0.342956833074257,-0.0199708726516248,0.114887123188421
"3379","Illinois",60656,7.25,8447.167603,69279.99321,86.5204679325028,6248,12388,266800,728,0.13,0.00718946439550553,0.33468019992139,-0.014224295727407,0.114874713775728
"3380","Massachusetts",1905,6,6905.462463,35138.12577,84.3579066762598,4311,12166,595700,596,0.23,0.00542030040979397,0.343624316148218,-0.0214808966201186,0.114846087198394
"3381","New Jersey",7656,7.25,7927.591718,8762.776687,61.1912271999582,1669,10745,485900,687,0.16,0.00481332099932247,0.341588298533602,-0.0191782661523945,0.114726752348571
"3382","Kansas",66111,8.25,10072.82456,102812.9386,71.9073550890747,2882,9881,263700,890,0.13,0.0278310160913957,0.329288940800611,-0.0299019192676592,0.114724888607989
"3383","New York",10803,6.25,6896.964746,15819.65498,78.6955758428624,1958,11766,649000,599,0.19,0.0057594708388432,0.342270220433846,-0.0209479108344525,0.114677115903855
"3384","New York",13206,6.5,6892.496021,47932.46079,85.2296953186731,5249,11766,649000,599,0.19,0.00601050272369309,0.342044183709691,-0.0212695572726661,0.114573107931019
"3385","New York",11552,6,6902.785669,36679.54712,77.127109046477,5624,11766,649000,599,0.19,0.00474373239077623,0.342564653939259,-0.0205289369324859,0.114571116567091
"3386","New Jersey",8740,6.75,7924.978113,5541.758264,73.9187900165402,919,10745,485900,687,0.16,0.00457641919210489,0.341473031421432,-0.0193366830307088,0.114547737465432
"3387","Texas",77379,10.25,12700.54955,197870.0414,87.0170698269817,20693,10967,336400,1094,0.12,0.00616454054329569,0.339891367916773,-0.0194315990527568,0.1145167234223
"3388","Connecticut",6851,7.5,8296.555426,40118.9475,74.5780473492203,5488,11500,424900,713,0.22,0.00549886428786431,0.34271748834537,-0.0216226435610622,0.114505994734891
"3389","Oregon",97027,11,10806.23905,14062.2415,86.4409510511505,3485,11144,490200,936,0.11,0.00261867025077008,0.341535357256168,-0.0177418959320176,0.114442332418788
"3390","Indiana",46228,9.75,10989.49633,48777.25285,70.8783884457996,4205,11322,242500,946,0.13,0.00918091747723736,0.334997396345653,-0.0178524274212576,0.114412094269417
"3391","Alabama",35061,10.5,13083.05858,24696.88934,85.897851210757,740,10142,267100,1140,0.13,0.0217960009189992,0.333912034504727,-0.0293979185791207,0.114406565354549
